SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
greater	1	5922900	1325	US	2012			
mower	1	5922900	272	US	2012			
slug man	1	5922900	1197	US	2012			
stuff	1	5922900	690	US	2012			
when you got killed	1	5922900	1459	US	2012			
climax	1	3618044	687	US	2009			
nuts	1	3618044	921	US	2009			
save	1	3618044	960	US	2009			
engaged	1	3618044	458	US	2009			
bind	2	3618044	915	US	2009	bind is a situation that someone is in.		difficulty or predicament
elder	1	5860680	93	US	2014			
gonna	1	5860680	1002	US	2014			
elders	1	5860680	43	US	2014			
sleeping	1	5860680	1139	US	2014			
anything	1	5987878	1906	US	2006			
ma'am	1	5987878	787	US	2006			
slumming	3	5987878	83	US	2006	"according to green's dictionary of slang, the term ""slumming"" refers to engaging in activities or visiting places considered beneath one's usual social or economic status."	https://www.urbandictionary.com/define.php?term=slumming	lowering standards
have a cow	1	5987878	1437	US	2006			
all right	1	3692182	1891	US	2009			
what the fuck	1	3692182	1666	US	2009			
deaded motherfuckers	1	3692182	319	US	2009			
within inches of	1	3692182	1596	US	2009			
dizzy	2	3692182	754	US	2009	"urban dictionary defines ""dizzy"" as being disoriented, confused, or feeling lightheaded. it can also refer to feeling overwhelmed or experiencing a sense of bewilderment."	https://www.urbandictionary.com/define.php?term=dizzy	disoriented
upgrade	1	3692182	1056	US	2009			
passed through your hands	1	3692182	1032	US	2009			
uh	1	5836657	99	US	2014			
broken up	1	5836657	1137	US	2014			
bar is so low	2	5836657	140	US	2014	something losing it worth		standards are very low
like	1	5836657	501	US	2014			
trust me	1	5836657	555	US	2014			
blowing up	1	5836657	1056	US	2014			
mean	1	5836657	34	US	2014			
wanna	2	4640913	495	UK	2011			
pissed	1	5623414	1309	UK	2013			
pithy	1	4259257	2292	UK	2010			
ain't	2	3564173	1181	UK	2008	slang contraction of is not, are not, am not, do not or does not	https://www.urbandictionary.com/define.php?term=ain%27t	haven
fucking	1	3666051	748	UK	2009			
potty	2	3320486	1998	UK	2008	toilet	https://www.urbandictionary.com/define.php?term=Potty	toilet
head off	1	6244263	812	UK	2014			
squeezed	1	5623414	574	UK	2013			
mummy	1	3357285	1358	UK	2007			
yeah	1	5623414	1946	UK	2013			
gonna	2	5167828	210	UK	2001	going to		going to
kids	1	3666051	254	UK	2009			
yeah	2	6107374	1171	UK	2010	yes		agreed
guy	1	5510712	25	UK	2013			
gonna	2	3357285	1315	UK	2007	going to		going to
big girl	1	3666051	787	UK	2009			
shitting	3	5204705	774	UK	2012	literally defecating but in this context being afraid		afraid
piss	1	5204705	500	UK	2012			
fucking	1	5145968	697	UK	2012			
fucking	1	3552835	616	UK	2008			
yeah	1	3357285	706	UK	2007			
cheerio	2	3120452	2	UK	2006	goodbye		goodbye
babe	3	3552835	582	UK	2008			
bloody	2	4640913	555	UK	2011	mild swear word in uk and australia, not really used inus		why on earth
gay	1	6107374	2111	UK	2010			
pal	2	5204705	280	UK	2012	friend		friend
arse	3	5204705	1437	UK	2012	bottom, anus		bottom
bads	1	6244263	483	UK	2014			
brass tacks	1	5510712	313	UK	2013			
uh huh	1	4259257	1005	UK	2010			
slag	2	5204705	1062	UK	2012	offensive term for a promiscuous woman, in this context it means to insult		insult
gonna	1	4259257	2139	UK	2010			
freaky	1	4640913	1201	UK	2011			
dump	2	3552835	612	UK	2008	dispose of		drop
slung	2	4640913	617	UK	2011	threw		threw
yeah	1	6244263	444	UK	2014			
sorted	1	4640913	310	UK	2011			
fuck	2	3666051	746	UK	2009			
bruv	3	3666051	18	UK	2009	brother, though does not necessarily refer to a literal brother		brother
fussing	1	3552835	874	UK	2008			
okay	1	4259257	1737	UK	2010			
fucking	1	5145968	116	UK	2012			
shit	2	3357285	945	UK	2007	excrement - mild swear word		stuff
mister	1	4640913	370	UK	2011			
quid	2	5145968	244	UK	2012	pounds - british currency		pounds
fucking	1	6244263	891	UK	2014			
gonna	2	6244263	446	UK	2014	going to		going to
yeah	2	4259257	2516	UK	2010	yes		agreed
bite	1	5623414	2083	UK	2013			
mate	2	5623414	789	UK	2013	friend		friend
dad	1	3564173	757	UK	2008			
beeb	1	5623414	1407	UK	2013			
yeah	2	3666051	321	UK	2009	yes		agreed
gonna	2	6107374	2754	UK	2010	going to		going to
gonna	2	6244263	65	UK	2014	going to		going to
mates	2	3564173	1216	UK	2008	friends		friends
shit	2	3320486	1132	UK	2008	excrement - used as a mild swear word		stuff
ponce	2	5204705	1560	UK	2012			
mate	1	3552835	373	UK	2008			
lad	2	5204705	731	UK	2012	young man		boy
son	1	6244263	1158	UK	2014			
harder	1	5204705	601	UK	2012			
fucking	1	5145968	563	UK	2012			
shoot it down	1	3558591	2503	US	2005			
gonna	1	3558591	866	US	2005			
make time	1	3558591	1861	US	2005			
gonna	1	4473014	1329	US	2011			
lead	1	4473014	1140	US	2011			
hang out	1	4473014	880	US	2011			
hand	2	3558591	610	US	2005	you can be of assistance		assist
swing by	2	4473014	334	US	2011	"urban dictionary defines ""swing by"" as making a quick visit to someone or somewhere."	https://www.urbandictionary.com/define.php?term=swing%20by	stop by
mommy	1	3558591	1593	US	2005			
yes	1	4473014	1169	US	2011			
dragged	1	3558591	2944	US	2005			
high and dry	1	3558591	2572	US	2005			
throwing it out there	1	3558591	3010	US	2005			
oarter	1	4473014	1268	US	2011			
stand up	1	4473014	1389	US	2011			
befalleth	1	3558591	2872	US	2005			
your ass	1	185218	1051	US	2001			
um	1	5974299	1332	US	2014			
man	1	185218	1823	US	2001			
my girl	1	185218	1997	US	2001			
front	1	185218	1973	US	2001			
cooty cat	1	5974299	687	US	2014			
fucking around	2	185218	1242	US	2001	"urban dictionary defines ""fucking around"" as engaging in sexual activity with no strings attached or engaging in playful, non-serious behavior."	https://www.urbandictionary.com/define.php?term=fucking%20around	aimless behavior
crazy	2	5974299	877	US	2014			
had quite a time of it	1	5974299	114	US	2014			
nigga	2	185218	2013	US	2001			
check	1	185218	1808	US	2001			
stunned	1	5974299	374	US	2014			
wanna	1	5974299	698	US	2014			
daddy	1	5974299	1172	US	2014			
gonna	1	5036434	1231	US	2012			
guy	1	5036434	538	US	2012			
glad	1	6441036	1243	US	2013			
upstage	1	6441036	1305	US	2013			
stomps	3	5036434	312	US	2012			
eh	1	5791518	855	US	2014			
pretty good	1	5791518	2649	US	2014			
pancreas	1	5791518	2096	US	2014			
meltdowns	1	5791518	465	US	2014			
bowl	2	5791518	2800	US	2014			
perp	2	4185464	519	US	2011			
paradise	1	4185464	129	US	2011			
merde	1	6173232	883	US	2014			
fussed with it	1	6173232	764	US	2014			
twisted	1	6173232	666	US	2014			
more leg	1	6173232	710	US	2014			
look	1	6173232	777	US	2014			
gonna	1	6173232	616	US	2014			
freaked	1	5922900	762	US	2012			
wiener	1	5922900	1306	US	2012			
son of a bitch	1	5922900	1003	US	2012			
freaked out	1	5922900	455	US	2012			
homey	2	5922900	1051	US	2012			
can of gasoline	1	5922900	953	US	2012			
fucking	1	3618044	24	US	2009			
fellas	2	3618044	260	US	2009			
climax	1	3618044	1042	US	2009			
okay	1	3618044	389	US	2009			
hold off on things	1	3618044	542	US	2009			
naked	1	3618044	1079	US	2009			
teeny	1	3618044	420	US	2009			
ought	1	3618044	490	US	2009			
transmission	1	5860680	701	US	2014			
new	1	5860680	9	US	2014			
complicated	1	5987878	1196	US	2006			
haggard	1	5987878	310	US	2006			
gotta	1	5987878	744	US	2006			
cool	1	5987878	1340	US	2006			
time is up	1	5987878	1012	US	2006			
knock	1	3692182	316	US	2009			
hold it down	2	3692182	869	US	2009			
hood	2	3692182	1743	US	2009			
bitch	1	3692182	1661	US	2009			
high horse	2	3692182	1111	US	2009			
motherfucker	1	3692182	1453	US	2009			
gentlemen	1	3692182	213	US	2009			
crackers	2	3692182	278	US	2009			
homemade	1	5836657	10	US	2014			
stupid	1	5836657	264	US	2014			
pushed	1	5836657	1147	US	2014			
as you ca see	1	5836657	865	US	2014			
something	1	5836657	1022	US	2014			
uh	1	5145968	352	UK	2012			
fucking	2	3320486	2598	UK	2008			
fucking	2	5204705	1064	UK	2012			
shag	3	5145968	137	UK	2012	sex		sexual partner
bitch	3	5145968	541	UK	2012	literally a female, used in a derogatory way here		woman
yeah	1	5623414	426	UK	2013			
torched	3	5510712	1273	UK	2013	submitted to an arson attack, burned out.	https://greensdictofslang.com/entry/2ssektq	burned out
cold boy	1	3666051	33	UK	2009			
eh	1	3552835	189	UK	2008			
eh	1	3320486	1862	UK	2008			
mate	2	5204705	171	UK	2012	a friend	https://greensdictofslang.com/entry/ggq4dwq	my friend
kid	2	6244263	986	UK	2014	a friend or fellow		my friend
yeah	2	4259257	1248	UK	2010			
gonna	2	5623414	702	UK	2013	going to		going to
yeah	2	3357285	855	UK	2007	yes		yes
shoved	2	5167828	598	UK	2001	a motion in which one party makes contact with the other in a violent motion that repels the receiving party.	https://www.urbandictionary.com/define.php?term=shoved	pushed
ok	1	5623414	2494	UK	2013			
daddy	1	3357285	1065	UK	2007			
get cold	1	4259257	2180	UK	2010			
slag	3	5623414	537	UK	2013	a promiscuous woman		easy girl
scream	1	5167828	678	UK	2001			
calm down	1	3357285	1237	UK	2007			
fucking	1	5204705	940	UK	2012			
before my time	1	4259257	1481	UK	2010			
yeah	2	6244263	423	UK	2014	yes		yes
creeps	2	3320486	891	UK	2008	feeling uncomfortable		bad feelings
baby	1	5167828	293	UK	2001			
gonna	2	5204705	39	UK	2012	short for 'going to'	https://www.urbandictionary.com/define.php?term=gonna	going to
gonna	1	4259257	78	UK	2010			
chucklebum	2	3564173	304	UK	2008			
yeah	2	6244263	978	UK	2014	right		okay
ain't	2	6244263	613	UK	2014	contraction for 'did not'	https://www.urbandictionary.com/define.php?term=ain%27t	did not
like	1	4640913	1286	UK	2011			
fucking	2	5623414	930	UK	2013	a general intensifier		such an
yeah	1	4259257	2491	UK	2010			
guvnor	2	6244263	224	UK	2014	a boss or important person		boss
mate	2	5204705	1500	UK	2012	a friend		friend
mate	1	5623414	431	UK	2013			
okay	1	4640913	1214	UK	2011			
creepy	1	5167828	217	UK	2001			
breaks my trust	1	6244263	1055	UK	2014			
gonna	1	5204705	208	UK	2012			
nite	2	5167828	973	UK	2001	simplified spelling of night	https://www.urbandictionary.com/define.php?term=nite	night
gonna	2	3552835	347	UK	2008	short for, going to	https://www.urbandictionary.com/define.php?term=gonna	going to
fucking	1	3666051	1009	UK	2009			
fucked	1	3552835	641	UK	2008			
fuck you	1	3357285	141	UK	2007			
wanna	2	6244263	970	UK	2014	short for, want to	https://www.urbandictionary.com/define.php?term=wanna	want to
fucking	1	6107374	373	UK	2010			
ok	1	3666051	611	UK	2009			
fucking	2	3320486	2587	UK	2008			
yeah	2	6107374	559	UK	2010	want to		agreed
wanker	3	6244263	621	UK	2014	wank literally means masturbate but is a slang term for an idiot		idiot
pushed him around	1	5145968	806	UK	2012			
bloody	1	5623414	1333	UK	2013			
man	1	4640913	1207	UK	2011			
ok	1	5623414	2441	UK	2013			
off our backs	1	3564173	667	UK	2008			
bird	1	5204705	115	UK	2012			
honey	2	5145968	312	UK	2012			
bruv	1	3666051	29	UK	2009			
cos	3	3120452	567	UK	2006	because		because
got	1	5510712	656	UK	2013			
faggot	3	3666051	524	UK	2009			
okay	1	6244263	410	UK	2014			
yonder	1	5204705	447	UK	2012			
fuzz	1	6244263	633	UK	2014			
blah	1	5145968	143	UK	2012			
prize	2	3558591	1947	US	2005			
suspicious	1	4473014	1087	US	2011			
gonna	1	3558591	1866	US	2005			
on the beat	2	4473014	666	US	2011			
broken a sweat	2	4473014	345	US	2011			
there are no slangs in this sentence	1	4473014	49	US	2011			
uh	1	4473014	920	US	2011			
caught up	1	3558591	2170	US	2005			
no	1	4473014	532	US	2011			
roger	1	4473014	869	US	2011			
pressure	1	4473014	277	US	2011			
own path	1	3558591	791	US	2005			
sleazy	3	3558591	349	US	2005			
be real	1	185218	1273	US	2001			
home	1	185218	2014	US	2001			
dropping the soap	1	185218	925	US	2001			
watch your back	1	185218	2095	US	2001			
gotten	1	5974299	249	US	2014			
asshole	1	5974299	539	US	2014			
make some pretty babies	1	185218	59	US	2001			
love	1	185218	44	US	2001			
fuck up	1	5974299	206	US	2014			
alizé	2	185218	1570	US	2001			
dick	3	185218	1753	US	2001			
shit	2	185218	1800	US	2001			
old folks	1	185218	241	US	2001			
bitch	1	185218	936	US	2001			
like	1	5974299	1282	US	2014			
air of spring	1	5036434	1116	US	2012			
right as rain	2	6441036	196	US	2013			
pretty	1	6441036	1979	US	2013			
what are you gonna do about it	1	5036434	58	US	2012			
heck	1	6441036	835	US	2013			
really	1	5036434	413	US	2012			
tender and mild	1	6441036	1811	US	2013			
card	1	5791518	673	US	2014			
none of your business	1	5791518	2887	US	2014			
getting there	1	5791518	2546	US	2014			
hot	1	5791518	1696	US	2014			
gotta	1	4185464	680	US	2011			
talking to me	1	4185464	636	US	2011			
circles	2	4185464	1149	US	2011			
smack	3	4185464	736	US	2011			
like	1	6173232	81	US	2014			
neckline	1	6173232	889	US	2014			
crispy	1	6173232	351	US	2014			
it's good	1	6173232	794	US	2014			
too good to be true	1	5922900	161	US	2012			
ooh	1	5922900	289	US	2012			
broke leg	1	5922900	336	US	2012			
agony	1	3618044	188	US	2009			
tell you	1	3618044	872	US	2009			
generous in bed	1	3618044	253	US	2009			
graveyard	1	3618044	1109	US	2009			
shitheels	2	3618044	464	US	2009			
go nuts	1	3618044	920	US	2009			
take it	1	3618044	395	US	2009			
just in time	1	5860680	1099	US	2014			
catch	1	5987878	57	US	2006			
hang out	1	5987878	144	US	2006			
wanna go	1	5987878	334	US	2006			
twins	1	3692182	1235	US	2009			
motherfucker	1	3692182	1936	US	2009			
fuck off	1	3692182	1456	US	2009			
ratted him out	1	3692182	1099	US	2009			
vegetable	3	3692182	1907	US	2009			
hairbags	3	3692182	252	US	2009			
man	1	3692182	638	US	2009			
on the force	1	3692182	364	US	2009			
man	1	3692182	1739	US	2009			
slutty little lipstick haiku	1	5836657	1181	US	2014			
on a clock	2	5836657	587	US	2014			
premed	1	5836657	469	US	2014			
seriously	1	5836657	59	US	2014			
silent treatment	2	5836657	637	US	2014			
badass	3	5836657	988	US	2014			
crash	2	5145968	293	UK	2012	sleep, lay down for the night		sleep
far gone	1	3120452	141	UK	2006			
blow your load	1	3552835	418	UK	2008			
ok	1	3357285	203	UK	2007			
mickey	2	3320486	1822	UK	2008			
yeah	2	4259257	2165	UK	2010	yes		yes
lickle	2	3552835	320	UK	2008	little, small		little
hitched	2	4640913	664	UK	2011	married - this is a term used in a lot of english speaking countries		married
yeah	1	5145968	554	UK	2012			
bloody	2	5145968	1117	UK	2012	mild swear word		very
arse	1	5623414	623	UK	2013			
prick	2	3552835	595	UK	2008	often used as slang for penis		idiot
tart	1	3564173	476	UK	2008			
cut	1	5510712	1250	UK	2013			
fucking	1	6244263	1056	UK	2014			
fucking	1	3552835	972	UK	2008			
prick	2	5204705	233	UK	2012	penis		idiot
guy	2	5510712	6	UK	2013	man		man
gonna	2	5510712	208	UK	2013	going to		going to
fucking	2	5204705	273	UK	2012			
toilet	1	6107374	458	UK	2010			
cash	1	5510712	694	UK	2013			
wee	2	3564173	674	UK	2008	little		small
yeah	2	6244263	112	UK	2014	yes		yes
eh	1	3552835	226	UK	2008			
gig	2	4640913	428	UK	2011	term for a concert		concert
mate	1	5623414	433	UK	2013			
oi	1	6244263	1131	UK	2014			
gonna	2	5204705	1434	UK	2012	"short for ""going to"""	https://www.urbandictionary.com/define.php?term=gonna	going to
wanna	2	4640913	1377	UK	2011	short for want to	https://www.urbandictionary.com/define.php?term=wanna	want to
mummy	1	3564173	234	UK	2008			
why don’t you	1	5204705	419	UK	2012			
'til	1	3564173	686	UK	2008			
ok	1	3564173	519	UK	2008			
gateway to hell	1	5167828	600	UK	2001			
gonna	1	5167828	679	UK	2001			
yeah	2	4640913	1452	UK	2011	yes		yes
gotta	1	3552835	275	UK	2008			
jesus	1	3357285	35	UK	2007			
sucking me off	1	3120452	1799	UK	2006			
yeah	1	3552835	717	UK	2008			
yeah	2	3357285	1023	UK	2007	yes		yes
hiding in the… closet	1	5167828	1025	UK	2001			
jonesy	1	5145968	1043	UK	2012			
prick	2	6244263	767	UK	2014	a general derogative term: an idiot, a fool, an incompetent		idoit
gives a fuck	1	3666051	923	UK	2009			
sat nav	2	4259257	1753	UK	2010	satellite navigation	https://www.urbandictionary.com/define.php?term=sat%20nav	satellite navigation
chestful	1	3666051	468	UK	2009			
tiger	1	5623414	672	UK	2013			
bloody	3	3564173	877	UK	2008			
bloody	2	5623414	598	UK	2013	isn't it	https://www.urbandictionary.com/define.php?term=innit	isn't it
don’t think for one minute	1	3357285	1270	UK	2007			
man	1	3666051	742	UK	2009			
ain't	2	3666051	32	UK	2009	are not	https://www.urbandictionary.com/define.php?term=ain%27t	are not
pigbag	1	3120452	1716	UK	2006			
ting	1	3666051	43	UK	2009			
ooh	1	6107374	2417	UK	2010			
guys	2	3320486	1138	UK	2008	people		people
great legs	1	3320486	1525	UK	2008			
fucking	1	3552835	724	UK	2008			
joke	1	6244263	871	UK	2014			
pack it	1	5204705	532	UK	2012			
um	1	5145968	684	UK	2012			
svengalis	1	5623414	6	UK	2013			
oause	1	4473014	1390	US	2011			
there are no slangs in this sentence	1	4473014	690	US	2011			
ask her out	1	3558591	207	US	2005			
gonna	1	4473014	1024	US	2011			
yes	1	4473014	244	US	2011			
guy	1	4473014	1038	US	2011			
pain in the ass	1	4473014	1210	US	2011			
goose down	1	3558591	127	US	2005			
magical language	1	3558591	1402	US	2005			
shit done	1	4473014	1032	US	2011			
lots	1	5974299	1048	US	2014			
shit	2	185218	1404	US	2001			
move on	2	5974299	240	US	2014			
sex toy	2	5974299	1372	US	2014			
none	1	5974299	943	US	2014			
shit	3	185218	1434	US	2001			
life'll	1	185218	2093	US	2001			
fool	1	185218	1772	US	2001			
downhearted	1	5036434	1012	US	2012			
really quick	1	6441036	1113	US	2013			
chuckles	1	6441036	1205	US	2013			
eggnog	1	6441036	890	US	2013			
treat	1	5036434	702	US	2012			
meg	1	6441036	143	US	2013			
hand	1	6441036	1594	US	2013			
baby	1	6441036	1061	US	2013			
dying cow	1	6441036	1763	US	2013			
hard	1	5791518	1557	US	2014			
closet queens	1	5791518	795	US	2014			
balls	2	5791518	2492	US	2014			
wish	1	5791518	2314	US	2014			
show up	2	5791518	2964	US	2014			
face	1	5791518	401	US	2014			
basket	1	4185464	810	US	2011			
i don't mind	1	4185464	982	US	2011			
looking under rocks	2	4185464	878	US	2011			
beamer	1	4185464	411	US	2011			
like	1	6173232	212	US	2014			
tricky	1	6173232	763	US	2014			
applause	1	6173232	540	US	2014			
like	1	6173232	673	US	2014			
paying attention	1	5922900	1251	US	2012			
path	1	5922900	205	US	2012			
gunfire	1	5922900	1064	US	2012			
owe	1	5922900	341	US	2012			
please please please	1	5922900	459	US	2012			
inch of your life	1	3618044	829	US	2009			
hey	1	3618044	663	US	2009			
handcuffing	1	3618044	952	US	2009			
lobbied	1	3618044	548	US	2009			
darling	1	5987878	101	US	2006			
complicated	1	5987878	1429	US	2006			
indie	1	5987878	1157	US	2006			
ass	1	5987878	1138	US	2006			
close call	1	5987878	1962	US	2006			
till	1	5987878	1415	US	2006			
gestapo	1	3692182	302	US	2009			
dread	1	3692182	2201	US	2009			
youngblood	3	3692182	1671	US	2009			
stupid ass bullshit	1	3692182	892	US	2009			
step off	2	3692182	1043	US	2009			
lemme	1	3692182	1725	US	2009			
my case	1	3692182	1906	US	2009			
motherfucker	1	3692182	661	US	2009			
sexy with anything	1	5836657	764	US	2014			
fit together	1	5836657	700	US	2014			
come	2	5836657	745	US	2014			
ain't	2	5836657	302	US	2014			
um	1	5836657	761	US	2014			
nyu	1	5836657	1016	US	2014			
whoa	1	5836657	614	US	2014			
pass the test	1	5836657	161	US	2014			
scared	1	5836657	1187	US	2014			
outdoorsy	1	4259257	1652	UK	2010			
dumped	2	5145968	641	UK	2012			
shit	3	5204705	1481	UK	2012			
you know	1	5623414	1446	UK	2013			
gotta	2	4640913	577	UK	2011			
livin'	1	5623414	629	UK	2013			
panties	1	3552835	860	UK	2008			
cheap as chips	1	3320486	534	UK	2008			
soft	1	6244263	820	UK	2014			
quid	1	5623414	589	UK	2013			
screaming	1	3357285	918	UK	2007			
number is up	1	5510712	763	UK	2013			
gonna	2	5145968	863	UK	2012			
yeah	2	5623414	1273	UK	2013			
cause	1	4259257	999	UK	2010			
gotta	1	3357285	791	UK	2007			
wanna	1	3666051	52	UK	2009			
gonna	2	3552835	863	UK	2008			
boss	1	5145968	884	UK	2012			
piss	2	5204705	1533	UK	2012			
dick	1	5623414	1112	UK	2013			
need your fists	1	4640913	270	UK	2011			
yeah	1	3320486	2423	UK	2008			
suck me off	3	3120452	1838	UK	2006			
asshole	2	3564173	648	UK	2008			
gonna	2	3552835	1058	UK	2008			
golly	3	3357285	106	UK	2007	euphemism for god		god
skipper	1	3552835	789	UK	2008			
gonna	1	4259257	1580	UK	2010			
babbles	2	4259257	1782	UK	2010	yes		yes
bloke	1	5204705	465	UK	2012			
gonna	1	6244263	634	UK	2014			
'cause	1	4259257	1108	UK	2010			
guy	1	6244263	1066	UK	2014			
gonna	1	5167828	680	UK	2001			
old man	1	3666051	378	UK	2009			
fuck	1	5204705	185	UK	2012			
gonna	1	5204705	1237	UK	2012			
fucked	1	5623414	2127	UK	2013			
e'ed	2	3552835	632	UK	2008	under the influence of mdma		under the influence of mdma
filch	1	3120452	214	UK	2006			
gonna	1	5167828	295	UK	2001			
telly	2	4259257	2447	UK	2010	television		tv
ain't	1	3552835	400	UK	2008			
man	1	3552835	490	UK	2008			
yeah	1	4259257	1095	UK	2010			
euhh	1	6244263	481	UK	2014			
what the hell	1	5167828	19	UK	2001			
bum	2	3564173	1219	UK	2008	a term of abuse for anyone unpleasant		unpleasant person
gonna	2	4640913	1119	UK	2011	short for 'going to'	https://www.urbandictionary.com/define.php?term=gonna	going to
'cause	2	5145968	559	UK	2012	a variant of because	https://www.urbandictionary.com/define.php?term=%27cause	because
shit yourself	2	3666051	383	UK	2009	to be afraid		be scared
shit	3	3357285	942	UK	2007	used to describe anything bad		bad
womanized	1	4640913	1699	UK	2011			
fiver	3	3564173	1287	UK	2008			
boys	1	3120452	2030	UK	2006			
eh	1	5623414	78	UK	2013			
weirdo	3	3564173	938	UK	2008	strange person		oddity
gotta	3	5204705	1300	UK	2012	got to		got to
grand	2	5510712	874	UK	2013	thousand pounds		thousand
shan't	1	3564173	11	UK	2008			
kids	1	5167828	1078	UK	2001			
goth bird	1	3552835	387	UK	2008			
that way inclined	1	3120452	1807	UK	2006			
whore	2	3558591	55	US	2005			
uh	1	4473014	93	US	2011			
whore	3	3558591	824	US	2005			
strange ass	2	3558591	112	US	2005	very strange		new
gonna	1	4473014	720	US	2011			
there are no slangs in this sentence	1	4473014	67	US	2011			
well	1	3558591	2668	US	2005			
gotta	1	3558591	2510	US	2005			
yes	1	4473014	1170	US	2011			
kid	1	3558591	2266	US	2005			
unfucking	1	4473014	21	US	2011			
stunt	1	3558591	1243	US	2005			
survived	1	4473014	796	US	2011			
second	1	4473014	1293	US	2011			
dig	2	3558591	2355	US	2005	pay close attention to		like to talk to
upstairs	1	5974299	977	US	2014			
live	1	185218	211	US	2001			
knocking	1	185218	875	US	2001			
wanna	2	5974299	981	US	2014	want to		want
nigga	1	185218	1530	US	2001			
um	1	5974299	104	US	2014			
block	1	185218	927	US	2001			
bam	2	5974299	759	US	2014	echoic of a  sound or action		sound
mama	1	185218	962	US	2001			
uh	1	5974299	1290	US	2014			
someone special	1	5036434	763	US	2012			
frankly	1	6441036	1788	US	2013			
missy	1	5036434	432	US	2012			
shipwreck	1	6441036	133	US	2013			
play this game	1	5036434	1030	US	2012			
jogging	1	5791518	202	US	2014			
frodo	1	5791518	754	US	2014			
douches	1	5791518	574	US	2014			
pick	1	5791518	1309	US	2014			
lasting	1	5791518	324	US	2014			
do any good	1	4185464	826	US	2011			
ppd	1	4185464	999	US	2011			
rehab mill	3	4185464	745	US	2011	a form of adaptive reuse in which a historic mill or industrial factory building is restored or rehabilitated into another use		mixed-use
paradise	1	4185464	1220	US	2011			
run the final step	1	6173232	333	US	2014			
gonna	1	6173232	776	US	2014			
keep my eye on	1	6173232	86	US	2014			
on her leg	1	6173232	102	US	2014			
steady	1	6173232	772	US	2014			
dosed	1	5922900	29	US	2012			
you're fucked	1	5922900	534	US	2012			
brandish	1	5922900	21	US	2012			
fuck	2	5922900	590	US	2012	an excl. of anger, surprise, dismay, disbelief, resignation, esp. in combs.	https://greensdictofslang.com/entry/hrg56hi	dismay
my fist and then daves dick	1	5922900	1200	US	2012			
here	1	3618044	1051	US	2009			
okay	1	3618044	385	US	2009			
try so hard	1	3618044	959	US	2009			
business	1	3618044	430	US	2009			
total mess	1	3618044	923	US	2009			
kiddin	1	3618044	338	US	2009			
elders	1	5860680	53	US	2014			
a sec	1	5987878	1528	US	2006			
seeing	1	5987878	1696	US	2006			
toxic	1	5987878	1979	US	2006			
nlgga	1	3692182	531	US	2009			
outta	1	3692182	406	US	2009			
yo	2	3692182	1524	US	2009	used to add emphasis to a statement		you
bust	3	3692182	1529	US	2009	to kick, to harm		harm
ain't got no	2	3692182	829	US	2009	to feel bad		bad
wanna	1	3692182	541	US	2009			
baby	1	3692182	1954	US	2009			
grill	2	3692182	535	US	2009	one's personal space		home
captain	1	3692182	351	US	2009			
shit crazy	1	3692182	108	US	2009			
disgustingly	1	5836657	530	US	2014			
wow	1	5836657	156	US	2014			
creepy	1	5836657	567	US	2014			
tits	3	5836657	120	US	2014			
innit	1	5510712	1051	UK	2013			
gonna	2	5145968	994	UK	2012	going to		going to
me	2	5204705	1093	UK	2012	my		my
fancy	2	5145968	108	UK	2012			
pee	2	4640913	1270	UK	2011	urinate		wee
man	1	3666051	698	UK	2009			
yeah	1	4259257	2527	UK	2010			
fucking	2	3552835	952	UK	2008			
kids	1	3320486	1511	UK	2008			
yeah	2	6244263	774	UK	2014	yes		agreed
mate	2	5623414	819	UK	2013	friend		friend
yeah	2	5623414	1102	UK	2013	yes		yes
shattered	1	5510712	556	UK	2013			
jerk	3	5167828	988	UK	2001	a general term of abuse; a fool, an idiot, a failure.	https://greensdictofslang.com/entry/3d633oy	stupid person
fucking	1	3666051	409	UK	2009			
ok	1	3357285	181	UK	2007			
uh	1	6107374	573	UK	2010			
fucking	1	5623414	1116	UK	2013			
okay	1	5145968	567	UK	2012			
uh	1	4259257	16	UK	2010			
yeah	1	5623414	790	UK	2013			
feral	1	5145968	306	UK	2012			
hide	1	6244263	336	UK	2014			
chilled out	1	3320486	145	UK	2008			
gonna	2	3552835	367	UK	2008	going to	https://www.urbandictionary.com/define.php?term=gonna	going
cash	1	5510712	868	UK	2013			
granny	1	6244263	1041	UK	2014			
lolly	1	4259257	679	UK	2010			
put it off	1	5510712	860	UK	2013			
shit	2	3666051	782	UK	2009	frighten	https://greensdictofslang.com/entry/isvq7ia	frighten
boys	1	5623414	1849	UK	2013			
quid	3	5510712	1341	UK	2013	a sum of money		pounds
cunt	1	6107374	1319	UK	2010			
wanna	2	5204705	561	UK	2012	short for want to	https://www.urbandictionary.com/define.php?term=wanna	want to
gonna	1	5204705	917	UK	2012			
give me all that	1	6107374	1803	UK	2010			
yeah	1	4640913	506	UK	2011			
gonna	2	5204705	1175	UK	2012	going to	https://www.urbandictionary.com/define.php?term=gonna	going to
okay	1	5510712	264	UK	2013			
butt	3	3552835	463	UK	2008	the buttocks; the posterior; the anus.	https://greensdictofslang.com/entry/zsktr2i	posterior
